val_acc,adv_acc,train_val_acc,train_adv_acc
0.8921,0.6968,0.95358,0.79942
0.894,0.6985,0.95564,0.79928
0.8909,0.6905,0.95452,0.80038
0.8924,0.6958,0.95442,0.80132
0.8934,0.6906,0.95708,0.80162
0.8926,0.6935,0.95778,0.80054
0.8921,0.6935,0.95658,0.80356
0.8948,0.693,0.9578,0.8017
0.8918,0.6972,0.95692,0.80468
0.8931,0.691,0.95778,0.79968
0.8901,0.6942,0.95802,0.80472
0.8932,0.6959,0.96012,0.80586
0.8924,0.6941,0.959,0.80424
0.8942,0.6918,0.95974,0.80546
0.8926,0.6954,0.96052,0.8064
0.8938,0.6911,0.95868,0.80392
0.8958,0.6953,0.96114,0.80432
0.8945,0.6932,0.95942,0.8079
0.8922,0.6932,0.9601,0.80692
0.8945,0.6954,0.9607,0.80506
0.8935,0.6915,0.96232,0.80612
0.895,0.6937,0.96126,0.80938
0.8931,0.6921,0.96184,0.80954
0.893,0.6949,0.96164,0.80822
0.8922,0.693,0.96172,0.80992
0.8928,0.695,0.96158,0.80958
0.893,0.6921,0.96178,0.80876
0.8933,0.6935,0.96184,0.80728
0.892,0.6958,0.96206,0.81124
0.8929,0.6928,0.96086,0.80736
0.8943,0.6925,0.96222,0.80938
0.8913,0.6942,0.963,0.80914
0.8932,0.6899,0.96338,0.8091
0.8922,0.6918,0.96272,0.80962
0.8956,0.6909,0.9649,0.81032
0.8941,0.6941,0.96348,0.8086
0.8934,0.6891,0.96494,0.81112
0.8944,0.6893,0.96388,0.8102
