val_acc,adv_acc,train_val_acc,train_adv_acc
0.4554,0.3383,0.4464,0.32818
0.5584,0.3843,0.5568,0.3844
0.6452,0.4341,0.63326,0.43856
0.6403,0.4479,0.64768,0.45594
0.7104,0.4933,0.69958,0.49414
0.7017,0.4936,0.71434,0.51624
0.6731,0.4548,0.67916,0.4748
0.7412,0.5145,0.75232,0.53018
0.7277,0.5074,0.73524,0.52194
0.6575,0.4495,0.68076,0.48148
0.7091,0.4989,0.71798,0.51408
0.7806,0.5501,0.7832,0.56316
0.731,0.5188,0.74872,0.53548
0.7152,0.4796,0.7234,0.49672
0.761,0.5383,0.7774,0.56054
0.7547,0.517,0.75668,0.54706
0.7308,0.5125,0.74906,0.5322
0.7445,0.525,0.76868,0.55102
0.7705,0.5371,0.78594,0.56506
0.7656,0.5396,0.78166,0.56782
0.767,0.5384,0.78446,0.56736
0.7698,0.5378,0.78504,0.56472
0.7791,0.5454,0.79586,0.57564
0.7257,0.5224,0.74682,0.55062
0.7813,0.5482,0.79716,0.57402
0.7419,0.5068,0.7696,0.54088
0.766,0.5407,0.77842,0.5658
0.7765,0.5398,0.79254,0.57022
0.7375,0.5101,0.76654,0.5479
0.7811,0.5578,0.80528,0.58508
0.7342,0.5132,0.76474,0.5509
0.7548,0.5333,0.77448,0.56488
0.7554,0.5553,0.77454,0.58946
0.7987,0.57,0.81864,0.59984
0.7711,0.5584,0.79276,0.5909
0.7814,0.5579,0.79392,0.57968
0.8005,0.5646,0.81836,0.59056
0.7943,0.5686,0.81406,0.59476
0.777,0.5689,0.79678,0.5976
0.7705,0.5442,0.78612,0.5718
0.7905,0.5697,0.80496,0.59822
0.756,0.5366,0.77502,0.55984
0.7785,0.5358,0.79596,0.57186
0.7359,0.5034,0.74936,0.52752
0.7616,0.5275,0.7874,0.56808
0.7692,0.5472,0.78618,0.56456
0.7817,0.5517,0.80466,0.58164
0.7884,0.5584,0.80252,0.57956
0.7911,0.5493,0.80794,0.58674
0.7873,0.5595,0.81272,0.59228
0.8584,0.6576,0.88276,0.70626
0.8638,0.6637,0.89342,0.7157
0.8666,0.6726,0.89632,0.72152
0.8689,0.676,0.8962,0.72054
0.8653,0.6725,0.90254,0.72934
0.8676,0.674,0.9035,0.73
0.8725,0.681,0.9089,0.73476
0.8699,0.6788,0.90632,0.73266
0.8731,0.6757,0.9079,0.73532
0.863,0.6612,0.90012,0.71956
0.8725,0.6768,0.91058,0.7347
0.875,0.6794,0.91138,0.73952
0.8668,0.6688,0.90892,0.73246
0.8704,0.6649,0.91024,0.73024
0.871,0.6775,0.9128,0.7386
0.8738,0.6737,0.91612,0.74094
0.8695,0.6695,0.91186,0.73266
0.8694,0.6643,0.913,0.7343
0.8591,0.6659,0.90732,0.72644
0.8681,0.6706,0.90778,0.7307
0.874,0.6681,0.9156,0.73424
0.8664,0.6621,0.91672,0.73202
0.8699,0.6654,0.91546,0.73072
0.8691,0.6667,0.91388,0.73386
0.8741,0.662,0.91728,0.73268
0.8697,0.6667,0.91394,0.7412
0.8649,0.6657,0.9128,0.73222
0.8758,0.6626,0.92148,0.73508
0.8737,0.6544,0.9191,0.72702
0.8609,0.6589,0.9095,0.72648
0.8661,0.6575,0.91512,0.7304
0.8663,0.6609,0.91542,0.72938
0.8679,0.6517,0.91802,0.73054
0.8719,0.6603,0.92034,0.73482
0.8662,0.6471,0.9145,0.7148
0.8681,0.6501,0.91844,0.73182
0.8691,0.6596,0.91614,0.72952
0.8685,0.663,0.91302,0.72984
0.8701,0.666,0.91902,0.73742
0.8659,0.6487,0.91322,0.72214
0.8643,0.6428,0.9176,0.72326
0.8687,0.6515,0.91508,0.7266
0.8703,0.6562,0.91898,0.73026
0.8776,0.6682,0.91842,0.73828
0.8699,0.6656,0.92102,0.73694
0.8615,0.6534,0.91322,0.72812
0.8679,0.6687,0.91438,0.7389
0.8718,0.6474,0.92056,0.72906
0.8718,0.6676,0.91884,0.73642
0.868,0.6642,0.91938,0.73882
0.8909,0.6955,0.94202,0.78228
0.8906,0.6976,0.9441,0.78742
0.8919,0.6941,0.94868,0.79176
0.8915,0.6969,0.94808,0.79312
0.8938,0.6967,0.94894,0.79252
0.8921,0.6961,0.95128,0.79412
0.8948,0.699,0.9515,0.79648
0.8943,0.6996,0.9528,0.79598
0.8956,0.6979,0.9522,0.79794
0.8916,0.6968,0.95256,0.7987
0.8926,0.6976,0.953,0.79626
0.8925,0.6925,0.95434,0.79894
